date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:29	1501/1501	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-5dd%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/pants.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/pants.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:30	1853/1853	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-73d%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/phone-tablet.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/phone-tablet.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:30	1426/1426	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-592%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/phone.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/phone.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:30	1544/1544	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-608%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/restaurant.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/restaurant.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:31	2399/2399	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-95f%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/scissor.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/scissor.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:31	2066/2066	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-812%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/shipping.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/shipping.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:31	2336/2336	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-920%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/shirt.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/shirt.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:32	2245/2245	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-8c5%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/shoe-lady.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/shoe-lady.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:32	1705/1705	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-6a9%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/shoe-man.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/shoe-man.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:32	5186/5186	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-1442%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/slippers.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/slippers.svg	(from https://bootstrap-ecommerce.com/components.html)
10:21:33	1852/1852	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2261c8a6ba-73c%22	https://bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/sofa.svg	C:/Users/Nguyen%20Van%20Quan/OneDrive%20-%20ptit.edu.vn/Documents/Ecomerce%20Components/bootstrap-ecommerce.com/bootstrap5-ecommerce/images/icons/category-svg-blue/sofa.svg	(from https://bootstrap-ecommerce.com/components.html)
